PrimaryKey;Indikator;Satuan;Kategori;Pengertian;Interpretasi;Fenomena Terakhir;Sumber;SearchIndex;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;;;;;;;
Tingkat Pengangguran Terbuka (TPT);TPT;persen;Tenaga Kerja;Persentase jumlah pengangguran terhadap jumlah angkatan kerja. Angkatan Kerja adalah penduduk usia kerja (15 tahun ke atas) yang bekerja atau punya pekerjaan namun sementara tidak bekerja, dan penggangguran.Pengangguran yaitu: (1) penduduk yang aktif mencari pekerjaan, (2) penduduk yang sedang mempersiapkan usaha/pekerjaan baru, (3) penduduk yang tidak mencari pekerjaan karena merasa tidak mungkin mendapat pekerjaan, (4) kelompok penduduk yang tidak aktif mencari pekerjaan dengan alasan sudah mempunyai pekerjaan tetapi belum mulai bekerja.;Menunjukkan kemampuan ekonomi untuk menciptakan lapangan kerja yang mampu menyerap persediaan (supply) tenaga kerja yang ada. Semakin tinggi nilai indikator ini, semakin banyak persediaan tenaga kerja yang tidak termanfaatkan. Indikator ini dapat memberikan sinyal tentang kinerja pasar kerja dan berlangsungnya kondisi ekonomi tertentu, seperti resesi, perubahan siklus bisnis dan teknologi, dan lain-lain. Pembedaan menurut jenis kelamin, kelompok umur, dan tingkat pendidikan dapat menggambarkan kesenjangan keterserapan di lapangan kerja antar kelompok tersebut.; ;"1. 2010: Publikasi Indikator Utama Sosial, Politik dan Keamanan Provinsi Jawa Tengah Tahun 2011
2. 2011 - 2018: Publikasi Indikator Utama Sosial, Politik dan Keamanan Kabupaten Wonogiri Tahun 2014, 2018
3. 2019 - 2023: Publikasi Wonogiri Dalam Angka 2020 - 2024";Tingkat Pengangguran Terbuka (TPT) Tenaga Kerja;4,70;3,41;3,60;3,65;3,45;3,07;;2,38;2,28;2,54;4,27;2,43;1,95;1,92;;;;;;;
Tingkat Pengangguran Terbuka (TPT) Laki-laki;TPT Laki-laki;persen;Tenaga Kerja;Persentase jumlah pengangguran terhadap jumlah angkatan kerja laki-laki;Semakin tinggi angka, semakin banyak Tingkat Pengangguran Terbuka (TPT) Laki-laki; ;"1. 2010 - 2018: Publikasi Indikator Utama Sosial, Politik dan Keamanan Kabupaten Wonogiri Tahun 2014, 2018
2. 2019 - 2023: Publikasi Wonogiri Dalam Angka 2020 - 2024";Tingkat Pengangguran Terbuka (TPT) Laki-laki Tenaga Kerja;;2,69;3,31;3,11;2,94;3,17;;2,95;2,77;3,10;5,38;3,14;2,23;2,34;;;;;;;
Tingkat Pengangguran Terbuka (TPT) Perempuan;TPT Perempuan;persen;Tenaga Kerja;Persentase jumlah pengangguran terhadap jumlah angkatan kerja perempuan;Semakin tinggi angka, semakin banyak Tingkat Pengangguran Terbuka (TPT) Perempuan; ;"1. 2010 - 2018: Publikasi Indikator Utama Sosial, Politik dan Keamanan Kabupaten Wonogiri Tahun 2014, 2018
2. 2019 - 2023: Publikasi Wonogiri Dalam Angka 2020 - 2024";Tingkat Pengangguran Terbuka (TPT) Perempuan Tenaga Kerja;;4,37;3,99;4,38;4,06;2,94;;1,71;1,71;1,76;2,90;1,57;1,61;1,43;;;;;;;
Tingkat Partisipasi Angkatan Kerja (TPAK);TPAK;persen;Tenaga Kerja;Persentase penduduk usia 15 tahun keatas yang merupakan angkatan kerja.;Semakin tinggi TPAK menunjukkan bahwa semakin tinggi pula pasokan tenaga kerja (labour supply) yang tersedia untuk memproduksi barang dan jasa dalam suatu perekonomian. ; ;"1. 2010: Publikasi Indikator Utama Sosial, Politik dan Keamanan Provinsi Jawa Tengah Tahun 2011
2. 2011 - 2018: Publikasi Indikator Utama Sosial, Politik dan Keamanan Kabupaten Wonogiri Tahun 2014, 2018
3. 2019 - 2023: Publikasi Wonogiri Dalam Angka 2020 - 2024";Tingkat Partisipasi Angkatan Kerja (TPAK) Tenaga Kerja;71,99;69,62;73,04;71,93;71,52;69,12;;71,22;74,99;69,67;74,69;73,09;74,87;82,45;;;;;;;
Tingkat Partisipasi Angkatan Kerja (TPAK) Laki-laki;TPAK Laki-laki;persen;Tenaga Kerja; ;Semakin tinggi angka, semakin banyak Tingkat Partisipasi Angkatan Kerja (TPAK) Laki-laki; ;"1. 2010 - 2018: Publikasi Indikator Utama Sosial, Politik dan Keamanan Kabupaten Wonogiri Tahun 2014, 2018
2. 2019 - 2023: Publikasi Wonogiri Dalam Angka 2020 - 2024";Tingkat Partisipasi Angkatan Kerja (TPAK) Laki-laki Tenaga Kerja;;83,03;87,86;86,09;81,59;83,08;;80,79;85,09;84,78;85,54;83,35;85,85;90,21;;;;;;;
Tingkat Partisipasi Angkatan Kerja (TPAK) Perempuan;TPAK Perempuan;persen;Tenaga Kerja; ;Semakin tinggi angka, semakin banyak Tingkat Partisipasi Angkatan Kerja (TPAK) Perempuan; ;"1. 2010 - 2018: Publikasi Indikator Utama Sosial, Politik dan Keamanan Kabupaten Wonogiri Tahun 2014, 2018
2. 2019 - 2023: Publikasi Wonogiri Dalam Angka 2020 - 2024";Tingkat Partisipasi Angkatan Kerja (TPAK) Perempuan Tenaga Kerja;;57,35;73,04;58,91;62,28;56,29;;62,43;65,71;55,78;64,64;63,58;64,68;74,80;;;;;;;
Jumlah Penduduk Miskin;Jumlah Penduduk Miskin;ribu jiwa;Kemiskinan;"Banyaknya penduduk yang tidak mampu memenuhi hak dasar (hak atas pangan, sandang, layanan kesehatan, layanan pendidikan, pekerjaan dan berusaha, dan/atau perumahan) secara layak dan mandiri; atau penduduk yang memiliki rata- rata pengeluaran per kapita sebulan di bawah garis kemiskinan.";Semakin besar nilai, maka semakin banyak jumlah penduduk miskin; ;"1. 2010 - 2013: Publikasi Indikator Utama Sosial, Politik dan Keamanan Kabupaten Wonogiri Tahun 2014
2. 2014 - 2023: Publikasi Wonogiri Dalam Angka 2024";Jumlah Penduduk Miskin Kemiskinan;145,51;146,40;137,90;132,20;123,85;123,00;124,80;123,04;102,84;98,28;104,37;110,46;105,19;104,82;;;;;;;
Persentase penduduk miskin (Po);%Penduduk Miskin;persen;Kemiskinan;Persentase Penduduk Miskin (Headcount Index/P0) adalah Persentase penduduk miskin yang berada di bawah garis kemiskinan. Headcount Index secara sederhana mengukur proporsi yang dikategorikan miskin.;Angka yang ditunjukkan oleh HCI-P0 menunjukkan proporsi penduduk miskin di suatu wilayah. Persentase penduduk miskin yang tinggi menunjukkan bahwa tingkat kemiskinan di suatu wilayah juga tinggi. Persentase penduduk miskin di Kota Tasikmalaya pada tahun 2021 sebesar 13,13 persen.; ;"1. 2010 - 2013: Publikasi Indikator Utama Sosial, Politik dan Keamanan Kabupaten Wonogiri Tahun 2014
2. 2014 - 2023: Publikasi Wonogiri Dalam Angka 2024";Persentase penduduk miskin (Po) Kemiskinan;15,68;15,74;14,67;14,02;13,09;12,98;13,12;12,90;10,75;10,25;10,86;11,55;10,99;10,94;;;;;;;
Indeks Kedalaman Kemiskinan (P1);Indeks P1;-;Kemiskinan;Ukuran rata-rata kesenjangan pengeluaran masing-masing penduduk miskin terhadap garis kemiskinan. Indeks ini dapat menunjukan sejauh mana penduduk miskin berada di bawah garis kemiskinan.;Penurunan nilai indeks Kedalaman Kemiskinan mengindikasikan bahwa rata-rata pengeluaran penduduk miskin cenderung makin mendekati garis kemiskinan dan ketimpangan pengeluaran penduduk miskin juga semakin menyempit.; ;"1. 2010 - 2013: Publikasi Indikator Utama Sosial, Politik dan Keamanan Kabupaten Wonogiri Tahun 2014
2. 2014 - 2023: Publikasi Wonogiri Dalam Angka 2024";Indeks Kedalaman Kemiskinan (P1) Kemiskinan;3,02;3,09;1,76;1,74;1,53;2,10;1,68;1,80;1,71;0,82;1,08;1,58;1,33;1,32;;;;;;;
Indeks Keparahan Kemiskinan (P2);Indeks P2;-;Kemiskinan;Gambaran mengenai penyebaran pengeluaran di antara penduduk miskin yang mengindikasikan besarnya ketimpangan yang terjadi antar-penduduk miskin.;Semakin tinggi nilai indeks, semakin tinggi ketimpangan pengeluaran di antara penduduk miskin.; ;"1. 2010 - 2013: Publikasi Indikator Utama Sosial, Politik dan Keamanan Kabupaten Wonogiri Tahun 2014
2. 2014 - 2023: Publikasi Wonogiri Dalam Angka 2024";Indeks Keparahan Kemiskinan (P2) Kemiskinan;0,92;0,89;0,33;0,37;0,32;0,50;0,38;0,43;0,41;0,11;0,18;0,34;0,29;0,25;;;;;;;
Garis Kemiskinan (GK);Garis Kemiskinan;Rp/kap/bln.;Kemiskinan;Representasi dari jumlah rupiah minimum yang dibutuhkan untuk memenuhi kebutuhan pokok minimum makanan yang setara dengan 2100 kilokalori per kapita per hari dan kebutuhan pokok bukan makanan.;Garis kemiskinan menunjukkan jumlah rupiah minimum yang dibutuhkan untuk memenuhi kebutuhan pokok minimum makanan yang setara dengan 2100 kilokalori per kapita per hari dan kebutuhan pokok bukan makanan. Penduduk yang memiliki rata-rata pengeluaran konsumsi per kapita per bulan di bawah garis kemiskinan dikategorikan sebagai penduduk miskin.; ;"1. 2010 - 2013: Publikasi Indikator Utama Sosial, Politik dan Keamanan Kabupaten Wonogiri Tahun 2014
2. 2014 - 2023: Publikasi Wonogiri Dalam Angka 2024";Garis Kemiskinan (GK) Kemiskinan;195.080,00;207.496,00;221.019,00;235.728,00;244.761,00;252.903,00;275.507,00;284.710,00;293.357,00;327.364,00;341.643,00;356.728,00;376.763,00;414.901,00;;;;;;;
Indeks Gini;Indeks Gini;-;Kemiskinan;Indeks Gini atau Rasio Gini merupakan indikator yang menunjukkan tingkat ketimpangan pengeluaran secara menyeluruh;Nilai Rasio Gini yang semakin mendekati 1 mengindikasikan tingkat ketimpangan yang semakin tinggi. Rasio Gini bernilai 0 menunjukkan adanya pemerataan pendapatan yang sempurna, atau setiap orang memiliki pendapatan yang sama. Sedangkan, Rasio Gini bernilai 1 menunjukkan ketimpangan yang sempurna, atau satu orang memiliki segalanya sementara orang-orang lainnya tidak memiliki apa-apa. Dengan kata lain, Rasio Gini diupayakan agar mendekati 0 untuk menunjukkan adanya pemerataan distribusi pendapatan antar penduduk.; ;"1. 2010 - 2014: Publikasi Indikator Utama Sosial, Politik dan Keamanan Kabupaten Wonogiri Tahun 2014
2. 2015 - 2023: Tabel Dinamis BPS Provinsi Jawa Tengah";Indeks Gini Kemiskinan;0,29;0,35;0,32;0,34;0,33;0,33;;;;;;0,36;0,35;0,35;;;;;;;
Penduduk 15 Tahun ke Atas yang Bekerja di Sektor Pertanian;%Pekerja Pertanian;persen;Tenaga Kerja;Persentase penduduk yang bekerja di sektor pertanian, kehutanan, dan perikanan; ; ;"1. 2011 - 2018: Publikasi Indikator Utama Sosial, Politik dan Keamanan Kabupaten Wonogiri Tahun 2014, 2018
2. 2019 - 2022: Publikasi Statistik Ketenagakerjaan Kabupaten Wonogiri 2019 - 2022";Penduduk 15 Tahun ke Atas yang Bekerja di Sektor Pertanian Tenaga Kerja;;56,09;52,07;53,91;55,09;53,91;;40,53;40,03;43,59;43,49;42,33;46,86;;;;;;;;
Penduduk 15 Tahun ke Atas yang Bekerja di Sektor Manufaktur;%Pekerja Manufaktur;persen;Tenaga Kerja;Persentase penduduk yang bekerja di sektor industri pengolahan; ; ;"1. 2011 - 2018: Publikasi Indikator Utama Sosial, Politik dan Keamanan Kabupaten Wonogiri Tahun 2014, 2018
2. 2019 - 2022: Publikasi Statistik Ketenagakerjaan Kabupaten Wonogiri 2019 - 2022";Penduduk 15 Tahun ke Atas yang Bekerja di Sektor Manufaktur Tenaga Kerja;;10,10;11,24;10,54;8,78;5,66;;13,64;15,05;12,33;12,39;13,84;12,42;;;;;;;;
Penduduk 15 Tahun ke Atas yang Bekerja di Sektor Jasa;%Pekerja Jasa;persen;Tenaga Kerja;Persentase penduduk yang bekerja di sektor jasa keuangan dan asuransi, jasa perusahaan, jasa pendidikan, jasa kesehatan dan kegiatan sosial, dan jasa lainnya.; ; ;"1. 2012: Publikasi Wonogiri Dalam Angka 2013
2. 2011 - 2018: Publikasi Indikator Utama Sosial, Politik dan Keamanan Kabupaten Wonogiri Tahun 2014, 2018
3. 2019 - 2022: Publikasi Statistik Ketenagakerjaan Kabupaten Wonogiri 2019 - 2022";Penduduk 15 Tahun ke Atas yang Bekerja di Sektor Jasa Tenaga Kerja;;9,83;10,25;10,18;8,88;10,09;;14,43;12,25;11,34;9,46;9,90;8,22;;;;;;;;
Angka Melek Huruf (AMH);AMH;persen;Pendidikan;Proporsi penduduk berusia 15 tahun ke atas yang memiliki kemampuan membaca dan menulis kalimat sederhana dalam huruf latin, huruf arab, dan huruf lainnya (seperti huruf jawa, kanji, dll) terhadap penduduk usia 15 tahun ke atas.;Angka melek huruf berkisar antara 0-100. Tingkat melek huruf yang tinggi menunjukkan adanya sebuah sistem pendidikan dasar yang efektif dan atau program keaksaraan yang memungkinkan sebagian besar penduduk untuk memperoleh kemampuan menggunakan kata-kata tertulis dalam kehidupan sehari-hari dan melanjutkan pembelajaran. Contoh: AMH Kabupaten Jepara Tahun 2013 sebesar 92,93 persen, artinya sekitar 93 persen penduduk di Kabupaten Jepara yang berumur 15 tahun ke atas dapat membaca dan menulis huruf latin atau huruf lainnya.; ;Publikasi Indikator Utama Sosial, Politik dan Keamanan Provinsi Jawa Tengah Tahun 2014, 2018, 2023;Angka Melek Huruf (AMH) Pendidikan;82,18;83,50;84,32;84,60;85,94;87,12;88,14;89,61;90,09;91,53;90,21;90,29;90,88;92,01;;;;;;;
Angka Kesakitan (Morbiditas);Morbiditas;persen;Kesehatan;Bagian dari seluruh penduduk, yang mengalami satu atau lebih jenis keluhan dalam satu bulan terakhir dan terganggu kegiatan sehari-hari.;Misal Angka kesakitan 7% artinya jika ada 100 orang penduduk, 7 diantaranya memiliki keluhan kesehatan; ;Publikasi Indikator Utama Sosial, Politik dan Keamanan Provinsi Jawa Tengah Tahun 2014, 2018, 2023;Angka Kesakitan (Morbiditas) Kesehatan;54,04;12,53;11,49;12,52;10,43;13,53;12,92;11,65;10,78;11,09;12,88;5,77;11,95;8,97;;;;;;;
Unmet Need Pelayanan Kesehatan;Unmet Need Faskes;persen;Kesehatan;Unmet need pelayanan kesehatan atau persentase penduduk yang memiliki keluhan kesehatan dan terganggu aktifitasnya namun tidak berobat jalan adalah perbandingan antara banyaknya penduduk yang memiliki keluhan kesehatan dan terganggu aktifitasnya namun tidak berobat jalan dan jumlah penduduk, dinyatakan dalam satuan persen (%). Aktifitas yang dimaksud adalah aktifitas penduduk sehari-hari seperti bekerja, bersekolah atau kegiatan sehari-hari lainnya.;"Indikator ini merupakan proksi untuk melihat cakupan penduduk yang seharusnya berobat ketika sakit, namun pada kenyataannya tidak berobat. Hal ini dapat disebabkan oleh berbagai hal seperti; tidak punya biaya berobat, tidak punya biaya transportasi, tidak ada sarana transportasi, atau karena waktu tunggu pelayanan yang lama sehingga berat hati untuk berobat."; ;"*)Diperoleh dari statistik kesejahteraan rakyat; persentase tidak rawat jalan selain ""mengobati sendiri"" dan ""merasa tidak perlu""";Unmet Need Pelayanan Kesehatan Kesehatan;;;;;;;;5,69;2,29;1,96;1,41;2,12;10,77;3,49;;;;;;;
Angka Partisipasi Murni (APM) SMA/MA/K;APM SMA;persen;Pendidikan;Proporsi dari jumlah siswa usia 16-18 tahun yang sedang bersekolah di jenjang SMA,terhadap penduduk kelompok usia sekolah 16-18 tahun.;APM menunjukkan seberapa banyak penduduk usia sekolah yang sudah dapat memanfaatkan fasilitas pendidikan sesuai pada jenjang pendidikannya.; ;Publikasi Wonogiri Dalam Angka 2016 - 2024;Angka Partisipasi Murni (APM) SMA/MA/K Pendidikan;46,20;60,69;54,08;54,91;70,67;70,12;67,03;69,41;72,87;73,40;73,39;73,31;74,37;64,73;;;;;;;
Angka Partisipasi Kasar (APK) SD/MI;APK SD;persen;Pendidikan;Perbandingan antara Jumlah Peserta Didik Jenjang Sekolah Dasar dengan jumlah Penduduk Usia 7 - 12 Tahun;Nilai APK bisa lebih dari 100 persen karena populasi murid yang bersekolah pada suatu jenjang pendidikan tertentu mencakup anak di luar batas usia sekolah pada jenjang pendidikan tersebut. Penyebabnya adalah adanya pendaftaran siswa usia dini, pendaftaran siswa yang telat bersekolah, atau pengulangan kelas. Hal ini juga dapat menunjukkan bahwa wilayah tersebut mampu menampung penduduk usia sekolah lebih dari target yang sesungguhnya. APK yang tinggi menunjukkan tingginya tingkat partisipasi sekolah, tanpa memperhatikan ketepatan usia sekolah pada jenjang pendidikannya; ;Publikasi Wonogiri Dalam Angka 2016 - 2024;Angka Partisipasi Kasar (APK) SD/MI Pendidikan;117,30;99,28;101,69;106,93;112,54;111,64;105,48;104,85;109,39;111,70;110,33;109,42;109,71;103,59;;;;;;;
Angka Partisipasi Kasar (APK) SMP/MTs;APK SMP;persen;Pendidikan;Perbandingan antara Jumlah Peserta Didik Jenjang Sekolah Menengah Pertama dengan jumlah Penduduk Usia 13 - 15 Tahun;Nilai APK bisa lebih dari 100 persen karena populasi murid yang bersekolah pada suatu jenjang pendidikan tertentu mencakup anak di luar batas usia sekolah pada jenjang pendidikan tersebut. Penyebabnya adalah adanya pendaftaran siswa usia dini, pendaftaran siswa yang telat bersekolah, atau pengulangan kelas. Hal ini juga dapat menunjukkan bahwa wilayah tersebut mampu menampung penduduk usia sekolah lebih dari target yang sesungguhnya. APK yang tinggi menunjukkan tingginya tingkat partisipasi sekolah, tanpa memperhatikan ketepatan usia sekolah pada jenjang pendidikannya; ;Publikasi Wonogiri Dalam Angka 2016 - 2024;Angka Partisipasi Kasar (APK) SMP/MTs Pendidikan;80,73;97,75;100,54;94,04;97,23;91,56;92,44;94,52;95,22;95,71;96,07;95,24;96,73;90,39;;;;;;;
Angka Partisipasi Kasar (APK) SMA/MA/K;APK SMA;persen;Pendidikan;Perbandingan antara Jumlah Peserta Didik Jenjang Sekolah Menengah Atas dengan jumlah Penduduk Usia 16 - 18 Tahun;Nilai APK bisa lebih dari 100 persen karena populasi murid yang bersekolah pada suatu jenjang pendidikan tertentu mencakup anak di luar batas usia sekolah pada jenjang pendidikan tersebut. Penyebabnya adalah adanya pendaftaran siswa usia dini, pendaftaran siswa yang telat bersekolah, atau pengulangan kelas. Hal ini juga dapat menunjukkan bahwa wilayah tersebut mampu menampung penduduk usia sekolah lebih dari target yang sesungguhnya. APK yang tinggi menunjukkan tingginya tingkat partisipasi sekolah, tanpa memperhatikan ketepatan usia sekolah pada jenjang pendidikannya; ;Publikasi Wonogiri Dalam Angka 2016 - 2024;Angka Partisipasi Kasar (APK) SMA/MA/K Pendidikan;65,10;71,89;71,38;62,28;78,76;91,32;92,99;86,58;83,48;90,45;92,36;90,30;89,97;84,10;;;;;;;
Angka Partisipasi Sekolah (APS) 7 sd 12 tahun;APS 7 - 12;persen;Pendidikan;Proporsi dari penduduk kelompok usia 7-12 tahun yang sedang bersekolah (tanpa memandang jenjang pendidikan yang ditempuhi) terhadap penduduk kelompok usia 7-12 tahun;Nilai APS berkisar antara 0-100. Makin tinggi APS berarti makin banyak anak usia sekolah yang bersekolah; ;"1. 2010 - 2019: Publikasi Wonogiri Dalam Angka 2016 - 2024
2. 2020 - 2022: Publikasi Indikator Kesejahteraan Rakyat Kabupaten Wonogiri 2021 - 2023
3. 2023: Publikasi Statistik Kesejahteraan Rakyat Kabupaten Wonogiri 2023";Angka Partisipasi Sekolah (APS) 7 sd 12 tahun Pendidikan;98,93;98,48;99,08;99,31;100,00;100,00;98,94;99,04;99,67;99,65;99,93;99,42;99,31;98,93;;;;;;;
Angka Partisipasi Sekolah (APS) 13 sd 15 tahun;APS 13 - 15;persen;Pendidikan;Proporsi dari penduduk kelompok usia 13-15 tahun yang sedang bersekolah (tanpa memandang jenjang pendidikan yang ditempuhi) terhadap penduduk kelompok usia 13-15 tahun;Nilai APS berkisar antara 0-100. Makin tinggi APS berarti makin banyak anak usia sekolah yang bersekolah; ;"1. 2010 - 2019: Publikasi Wonogiri Dalam Angka 2016 - 2024
2. 2020 - 2022: Publikasi Indikator Kesejahteraan Rakyat Kabupaten Wonogiri 2021 - 2023
3. 2023: Publikasi Statistik Kesejahteraan Rakyat Kabupaten Wonogiri 2023";Angka Partisipasi Sekolah (APS) 13 sd 15 tahun Pendidikan;86,92;94,86;92,49;90,93;98,14;98,18;97,99;98,24;98,69;98,88;98,91;98,70;95,32;94,84;;;;;;;
Angka Partisipasi Sekolah (APS) 16 sd 18 tahun;APS 16 - 18;persen;Pendidikan;Proporsi dari penduduk kelompok usia 16-18 tahun yang sedang bersekolah (tanpa memandang jenjang pendidikan yang ditempuhi) terhadap penduduk kelompok usia 16-18 tahun;Nilai APS berkisar antara 0-100. Makin tinggi APS berarti makin banyak anak usia sekolah yang bersekolah; ;"1. 2010 - 2019: Publikasi Wonogiri Dalam Angka 2016 - 2024
2. 2020 - 2022: Publikasi Indikator Kesejahteraan Rakyat Kabupaten Wonogiri 2021 - 2023
3. 2023: Publikasi Statistik Kesejahteraan Rakyat Kabupaten Wonogiri 2023";Angka Partisipasi Sekolah (APS) 16 sd 18 tahun Pendidikan;61,49;66,40;62,49;62,55;82,60;72,47;73,11;81,61;81,82;81,02;81,22;80,00;80,94;78,19;;;;;;;
Angka Partisipasi Sekolah (APS) 19 sd 24 tahun;APS 19 - 24;persen;Pendidikan;Proporsi dari penduduk kelompok usia 19-24 (19-23 mulai tahun 2023) tahun yang sedang bersekolah (tanpa memandang jenjang pendidikan yang ditempuhi) terhadap penduduk kelompok usia 19-24 tahun;Nilai APS berkisar antara 0-100. Makin tinggi APS berarti makin banyak anak usia sekolah yang bersekolah; ;"1. 2010 - 2019: Publikasi Wonogiri Dalam Angka 2016 - 2024
2. 2020 - 2022: Publikasi Indikator Kesejahteraan Rakyat Kabupaten Wonogiri 2021 - 2023
3. 2023: Publikasi Statistik Kesejahteraan Rakyat Kabupaten Wonogiri 2023";Angka Partisipasi Sekolah (APS) 19 sd 24 tahun Pendidikan;;7,52;11,84;22,63;24,40;;12,46;11,43;8,36;11,64;12,92;13,19;16,69;16,59;;;;;;;
IHK Tahunan;IHK;-;Ekonomi YTDL;Indeks yang mengukur harga rata-rata dari barang dan jasa yang dikonsumsi oleh rumah tangga.;"1. IHK = 100, secara umum harga relative tidak mengalami perubahan dibanding dengan tahun dasar.
2. IHK > 100, secara umum harga mengalami kenaikan dibanding dengan tahun dasar.
3. IHK < 100, secara umum harga mengalami penurunan dibanding dengan tahun dasar."; ;Tabel dinamis BPS Jateng;IHK Tahunan Ekonomi YTDL;122,46;126,12;130,44;141,66;117,34;119,85;123,38;126,24;129,75;;;;;;;;;;;;
Inflasi Umum Tahunan;Inflasi;persen;Ekonomi YTDL;Merupakan persentase kenaikan harga sejumlah barang dan jasa yang secara umum dikonsumsi rumah tangga.;Inflasi > 0 berarti tingkat harga sejumlah barang dan jasa yang secara umum dikonsumsi rumah tangga pada tahun berjalan mengalami peningkatan dibandingkan tahun sebelumnya.; ;Publikasi Indeks Harga Konsumen dan Inflasi Provinsi Jawa Tengah 2010 - 2018;Inflasi Umum Tahunan Ekonomi YTDL;6,66;3,00;3,43;8,60;7,20;2,13;2,94;2,32;2,63;;;;;;;;;;;;
Sex Ratio;Sex Ratio;persen;Kependudukan;Rasio Jenis Kelamin adalah perbandingan antara jumlah penduduk pria dan jumlah penduduk wanita pada suatu daerah pada suatu waktu tertentu, yang di nyatakan dalam berapa banyak penduduk pria berbanding 100 orang wanita.;Jika sex ratio diatas 100 menunjukan bahwa jumlah penduduk laki-laki lebih banyak di banding perempuan, sedangkan bila sex ratio nya kurang dari 100 berarti jumlah penduduk perempuan lebih banyak dari jumlah penduduk laki-laki.; ;"1. Publikasi Jawa Tengah Dalam Angka 2012 - 2023
2. Publikasi Wonogiri Dalam Angka 2015 - 2023";Sex Ratio Kependudukan;94,62;95,59;94,52;94,59;94,61;94,59;94,57;94,56;94,54;94,51;99,74;99,68;99,66;99,50;;;;;;;
Pengeluaran Barang Makanan;Pglr. Makanan;Rp/kap/bln.;Sosial YTDL; ; ; ;Tabel dinamis BPS Wonogiri & Jateng;Pengeluaran Barang Makanan Sosial YTDL;;;237.842,00;279.501,00;294.858,00;300.109,00;321.040,00;356.426,00;460.363,00;418.800,00;422.895,00;466.385,00;513.277,00;571.342,00;;;;;;;
Pengeluaran Barang Bukan Makanan;Pglr. Non Makanan;Rp/kap/bln.;Sosial YTDL; ; ; ;Tabel dinamis BPS Wonogiri & Jateng;Pengeluaran Barang Bukan Makanan Sosial YTDL;;;221.715,00;249.553,00;271.364,00;291.399,00;320.008,00;299.004,00;441.607,00;375.846,00;414.839,00;487.293,00;416.692,00;567.742,00;;;;;;;
Penduduk Laki-laki;Pend. Laki-laki;ribu jiwa;Kependudukan;Banyaknya orang yang berdomisili di wilayah Negara Kesatuan Republik Indonesia selama 1 tahun atau lebih dan atau mereka yang berdomisili kurang dari 1 tahun tetapi bertujuan untuk menetap, dipisahkan berdasarkan Jenis Kelamin Pria dan Wanita.;Penduduk berdasar jenis kelamin adalah perbedaan biologis antara laki-laki dan perempuan. Perbedaan biologis tersebut dapat dilihat dari alat kelamin serta perbedaan genetik.; ;1. Kabupaten Wonogiri Dalam Angka 2023-2024;Penduduk Laki-laki Kependudukan;452,37;454,31;456,27;458,09;459,80;461,31;462,70;459,80;465,12;466,21;520,92;525,76;527,65;524,50;;;;;;;
Penduduk Perempuan;Pend. Perempuan;ribu jiwa;Kependudukan;Banyaknya orang yang berdomisili di wilayah Negara Kesatuan Republik Indonesia selama 1 tahun atau lebih dan atau mereka yang berdomisili kurang dari 1 tahun tetapi bertujuan untuk menetap, dipisahkan berdasarkan Jenis Kelamin Pria dan Wanita.;Penduduk berdasar jenis kelamin adalah perbedaan biologis antara laki-laki dan perempuan. Perbedaan biologis tersebut dapat dilihat dari alat kelamin serta perbedaan genetik.; ;1. Kabupaten Wonogiri Dalam Angka 2023-2024;Penduduk Perempuan Kependudukan;478,11;480,30;482,43;484,29;486,02;487,71;489,28;486,02;491,98;493,29;522,26;527,43;529,44;526,59;;;;;;;
Penduduk Total;Penduduk;ribu jiwa;Kependudukan;Banyaknya orang yang berdomisili di wilayah Negara Kesatuan Republik Indonesia selama 1 tahun atau lebih dan atau mereka yang berdomisili kurang dari 1 tahun tetapi bertujuan untuk menetap.;Semakin tinggi angka semakin banyak jumlah penduduk.; ;1. Kabupaten Wonogiri Dalam Angka 2023-2024;Penduduk Total Kependudukan;930,49;934,62;938,70;942,38;945,82;949,02;951,98;945,82;957,11;959,45;1.043,18;1.053,19;1.057,09;1.051,09;;;;;;;
Kepadatan Penduduk;Kepadatan Pend.;jiwa/km2;Kependudukan;Jumlah penduduk di suatu wilayah pada kurun waktu tertentu dibagi Luas wilayah (Km^2) pada kurun waktu yang sama;Angka kepadatan penduduk menunjukan rata-rata jumlah penduduk tiap 1 kilometer persegi. Semakin besar angka kepadatan penduduk menunjukan bahwa semakin padat penduduk yang mendiami wilayah tersebut; ;1. Kabupaten Wonogiri Dalam Angka 2023-2024;Kepadatan Penduduk Kependudukan;;513,00;515,00;517,00;519,00;521,00;522,00;524,00;525,00;527,00;601,49;577,92;555,10;551,95;;;;;;;
Laju Pertumbuhan Penduduk;LP Penduduk;persen;Kependudukan; ; ; ;1. Kabupaten Wonogiri Dalam Angka 2023-2024;Laju Pertumbuhan Penduduk Kependudukan;;;;;;;;;;;;0,60;0,74;0,31;;;;;;;
